username,fname,lname,number-of-times-banned,date-joined
Atilt,Jenesis,Erwin,14,8/8/2021
Giph,Tyler,Shapiro,17,8/9/2021
JPadden,Blaine,Spivey,20,8/10/2021
MTowne,Carley,Mckay,23,8/11/2021
mrlucius57,Kassidy,Sneed,26,8/12/2021
Taruni,Zaira,Goss,29,8/13/2021
sunscreen_hotbox,Alessia,Hatcher,32,8/14/2021
Aj,Vivaan,Moseley,35,10/27/2021
honk,Efren,Looney,38,11/3/2021
Al3,Lenora,Jacobson,41,11/10/2021
Abdullah,Kara,Polk,44,11/17/2021
link-0192,Ilyas,Guzman,47,11/24/2021
hahaae319,Azael,Dorsey,50,12/1/2021
asdf321,Hamilton,Diggs,53,12/8/2021
NVMR,Daylan,Varner,56,12/15/2021
Logan,Kynleigh,Riggs,59,12/22/2021
Vladify,Vivianna,Bryant,62,12/29/2021
Cloud Drago,Braedyn,Rivas,65,1/5/2022
Eigo Ch.,Jaycee,Vance,68,1/12/2022
Dopps popps,Georgina,Vogel,71,1/19/2022
AlyJ,Kenan,Snider,74,1/26/2022
Luper ionic,Makiyah,Doherty,77,2/2/2022
Danlube,Jeff,Connell,80,2/9/2022
rocket117,Adalynn,Courtney,83,2/16/2022
K3_X4,Connor,Walters,86,2/23/2022
