username,fname,lname,number-of-times-banned,date-joined
dinosmash69,Jada,Couch,1,11/4/2021
DigitalDuct,Thor,Contreras,2,11/8/2021
sykeimadyke,Briar,Saunders,3,11/12/2021
spanishslow,Decker,Vaughn,4,11/16/2021
charactercanon,Sterling,Dobson,5,11/20/2021
freeperceive,Carmello,Mckee,6,11/24/2021
prisoncollege,Treyson,Carr,7,11/28/2021
longingpager,Elvin,Marsh,8,12/2/2021
confideinvestment,Kurtis,Matthews,9,12/6/2021
steamaccountant,Beverly,Owen,10,12/10/2021
sunglassesjersey,Natalee,Helms,11,12/14/2021
beaverpeony,Alicia,Spears,12,12/18/2021
richnesstumble,Tristian,Clarke,13,12/22/2021
fizikz3,Mireya,Rivers,14,12/26/2021
MortgageSome,Martha,Hartman,15,12/30/2021
sundalius,Brandt,Fitch,16,1/3/2022
Rodulv,Eduardo,Wallace,17,1/7/2022
DasaiQUICK,Jocelyn,Staley,18,1/11/2022
rudanshi,Wade,Krueger,19,1/15/2022
AnarKittyWu,Jonathan,Mohr,20,1/19/2022
Jim_Kenobi,Charli,Glass,21,1/23/2022
,,,,
,,,,
,,,,
